Tid,Score
123,1397
163,731
101,819
19,47
21,49
20,48
25,48
109,1200
34,231
32,281
21,382
93,932
21,92
12,95
42,177
73,799
46,325
64,597
28,631
37,953
34,460
68,1067
110,2647
47,1543
81,200
42,247
35,436
35,563
46,1163
65,1564
57,1059
41,1494
36,730
123,2764
215,10
52,1709
44,209
70,1912
15,19
29,375
20,231
11,110
46,114
3,0
16,0
4,2
3,2
6,0
8,310
3,2
447,228
30,343
38,946
126,4121
40,323
26,556
290,775
39,700
11,101
33,850
22,518
71,1409
38,578
74,193
77,1168
41,477
19,461
25,297
55,322
38,1036
13,311
25,186
59,1608
99,2509
102,2848
57,1467
120,4260
157,4757
17,23
47,1311
